html_filename,image1,image2,image3,image4,product_title,short_description,price,label,description2,Brand,Dimension,Bag Type,Material
-dell-pro-sleeve-13.html,https://www.neostore.com.np/assets/uploads/bag_3.jpg,https://www.neostore.com.np/assets/uploads/bag_1.jpg,https://www.neostore.com.np/assets/uploads/bag_2.jpg,https://www.neostore.com.np/assets/uploads/bag_3.jpg,Dell Pro Sleeve 13,"The Dell Pro Sleeve 13 protects your 13"" laptop wherever your busy day takes you. The professionally-stylish heather gray exterior is also water resistant to protect your laptop from the weather.","Current Price: Rs.3,800, Original Price: Rs.4,000",,"Stylish protection for your laptop on-the-go Slip your 13"" laptop into the stylish Dell Pro Sleeve 13 to protect your everyday essentials and electronics wherever your busy day takes you. The professionally chic heather dark gray exterior and plush-lined interior protect your laptop from scratches or damage. Lightweight and comfortable design The sleeve is lightweight and comfortable to carry around with handles that allow you to grab and go. Or you can go hands-free by using the detachable, adjustable shoulder strap. Weather resistant materials prevent damage The heather gray exterior is water resistant to prevent water damage as you go about your day. Plush French blue lining keeps your laptop snug and secure inside the sleeve. Superb functionality for easy transport A front organizer panel keeps all your everyday essentials within reach and easy-grip zipper pulls allow easy access to your pens or wallet. While traveling, slip the sleeve onto a rolling luggage with the convenient trolley strap. Fits 13"" laptops The Dell Pro Sleeve 13 snugly fits up to 13"" Dell laptops for secure protection wherever your busy day takes you.",,,,
-xlab-xlb-2003-laptop-backpack.html,https://www.neostore.com.np/assets/uploads/xLab_XLB-2003_Laptop_Backpack_2.jpg,https://www.neostore.com.np/assets/uploads/xLab_XLB-2003_Laptop_Backpack.jpg,https://www.neostore.com.np/assets/uploads/xLab_XLB-2003_Laptop_Backpack_2.jpg,https://www.neostore.com.np/assets/uploads/xLab_XLB-2003_Laptop_Backpack.jpg,xLab XLB-2003 Laptop Backpack,"MATERIAL: NYLON , WATER REPELLENT, SPILL PROOFAZO Free Healthy Versatile for all ages people for professional office bag, travel daypack, college/school bag. Safe laptop sleeve, easy-access middle compartment, purse/wallet pocket, mobile-phone pocket. Made of Nylon material. Water repellent and spill proof. Includes various functional pockets, one for laptop compartment, with the thick soft padding for the protection. Also the main compartment can keep 3-4 cloth for business travel. Unique shoulder strap design with massage mats. Breathable cushion tight fits the back & shoulder. Usb Charging Port -- External Usb Charging Port Is Provided On Side Of The Backpack To Charge Mobile Phone And Other Electronic Devices. Light Weight & Comfortable Ergonomic Design.","Current Price: Rs.3,400, Original Price: Rs.",,"xLab XLB-2003 Laptop Backpack is versatile for all ages people, for professional office bags, travel daypacks, and college/school backpacks.! Safety First! Safe laptop sleeve, easy-access middle compartment, purse/wallet pocket, mobile phone pocket. Durable and waterproof!? What a great combo! xLab XLB-2003 Laptop Backpack is made of Nylon material. Water repellent and spill proof. Spacious Enough XLB-2003 Includes various functional pockets, one for laptop compartment, with the thick soft padding for protection. Also, the main compartment can keep 3-4 cloth for business travel. Stylish yet practical Unique shoulder strap design with massage mats. Breathable cushion tight fits the back & shoulder. Charge on the go! USB Charging Port -- External USB Charging Port Is Provided On Side Of The Backpack To Charge Mobile Phone And Other Electronic Devices.
- Light Weight & Comfortable Ergonomic Design.",,,,
dell-ecoloop-pro-sleeve-11-14-cv5423-.html,https://www.neostore.com.np/assets/uploads/ecoloop_2.jpg,https://www.neostore.com.np/assets/uploads/ecoloop.jpg,https://www.neostore.com.np/assets/uploads/ecoloop_2.jpg,https://www.neostore.com.np/assets/uploads/ecoloop.jpg,Dell EcoLoop Pro Sleeve 11-14 CV5423,"Designed for on-the-go productivity and protection, the Dell EcoLoop Pro Sleeve is made of eco-conscious material to complement any lifestyle.","Current Price: Rs.4,275, Original Price: Rs.4,500",,"Designed with the Environment in Mind The Dell EcoLoop™ label identifies products that are manufactured with select materials and/or processes that help reduce the environmental impact compared to traditional industry methods. The Dell EcoLoop Pro Sleeve 11-14 features the following items: OceanCycle Certified™ Ocean-bound Plastic
The exterior main fabric is made with 100% ocean-bound plastic from approximately 7 recycled plastic bottles collected from ocean coastlines or major waterways.

Responsible dyeing process
Made with a solution-dyeing process for polyester that can generate up to 90% less wastewater, up to 62% less CO2 emissions, and uses up to 29% less energy than traditional dyeing processes.

Recycled content packaging
Packaging is made with 100% recycled content in the hang tag, hang loop, and plastic bag. Take your office anywhere Organized storage
Storage specially built to fit most Dell laptops up to 14"". Store a charger, mouse, and pens in the front zippered pocket. Carry comfortably
Carry your device with padded handles, a detachable shoulder strap, or slip the sleeve easily into a larger bag. ",,,,
dell-ecoloop-urban-backpack-cp4523b.html,https://www.neostore.com.np/assets/uploads/cp4523b.jpg,https://www.neostore.com.np/assets/uploads/cp4523b_2.jpg,https://www.neostore.com.np/assets/uploads/cp4523b_3.jpg,https://www.neostore.com.np/assets/uploads/cp4523b.jpg,Dell Ecoloop Urban Backpack CP4523B,"Designed for organization and comfort, the Dell EcoLoop Urban Backpack 14-16 is built with the environment in mind and easily complements any lifestyle.","Current Price: Rs.5,310, Original Price: Rs.5,900",,"  Designed with the Environment in Mind 100% recycled plastic fabric
Exterior fabric is made from approximately 7 recycled plastic bottles, which would have otherwise ended up in landfills. Sustainable packaging
Packaging is made with 100% recycled content in the hang tag, hang loop and plastic bag. Built to last
We use 420D ballistic body fabric to withstand daily use and back our product  Designated storage Protective laptop storage
A dedicated padded sleeve keeps your PC protected. Fits most laptops between 14” to 16”.

Spacious main compartment
Store documents and everyday accessories in one easily accessible space.  Stay organized Front organizer
Pen slots and slip pockets create storage for smaller items like a mouse or powerbank.

Zippered front pocket
A vertical pocket allows quick, easy access to small essentials like phones or keys.

Side pockets
Stretchable, mesh pockets on either side of the backpack store items like water bottles, umbrellas or hand sanitizer.  Designed for style and comfort Versatile look
A stylish look that's perfect for the office, gym or weekend use.
 
Stay cool
A vented, air-mesh, padded back panel keeps your back cool.
 
Carry comfortably
Adjustable, contoured shaping ""S"" shoulder straps take the load off your shoulders while a top haul handle provides a comfortable grip to grab and go.",Dell,6.7*18.9in,Backpack,"100% recycled plastic, 420D fabric"
dell-essential-backpack-15-es1520p.html,https://www.neostore.com.np/assets/uploads/bag_31.jpg,https://www.neostore.com.np/assets/uploads/bag_21.jpg,https://www.neostore.com.np/assets/uploads/bag.jpg,https://www.neostore.com.np/assets/uploads/bag_31.jpg,Dell Essential Backpack 15 ES1520P,"Designed with reflective prints on the front panel, the Dell Essential Backpack 15 (ES1520P) stands out in low-light conditions when hit with direct light, making you more visible.","Current Price: Rs.3,000, Original Price: Rs.",,"  Laptop Compatibility Fits most laptops with screen sizes up to 15.6"" (Max laptop dimension: 380mm x 260mm x 25mm) Color Black reflective printing with bumped up texture Features Additional Compartments Stay safe on-the-go Designed with reflective prints on the front panel, the Dell Essential Backpack 15 (ES1520P) stands out in low-light conditions, shining brightly when hit with direct light, such as car headlights, making you more visible to others when you are navigating busy streets and sidewalks. Lightweight, yet roomy for your essentials Good capacity to hold your laptop and everything you’ll need for the day. Your essentials will be within reach when you place your phone in the zippered front pocket and carry your water bottle and umbrella within the exterior side pockets. Keep essentials protected inside out Made of water-resistant outer material with a dedicated, padded laptop sleeve, the Dell Essential Backpack 15 (ES1520P) keeps your laptop and other essentials protected. Designed with zippers that can be concealed below the shoulder strap helps in avoiding unwanted attention. Comfortable to carry When you’re heading out, carry the lightweight backpack by the padded top handle and be on your way. Sling the backpack over your shoulders to go hands-free. You’ll stay comfortable and cool carrying the Dell Essential Backpack 15 (ES1520P) with air mesh back panel and padded shoulder straps. Fits most laptops, up to 15-inches The Dell Essential Backpack 15 (ES1520P) holds most Dell laptops, up to 15-inches, while commuting. ",Dell,12.2w x 5.5d x 16.9h in,Backpack,water-resistant outer material
dell-essential-briefcase-15-es1520c.html,https://www.neostore.com.np/assets/uploads/ES1520C.jpg,https://www.neostore.com.np/assets/uploads/ES1520C_2.jpg,https://www.neostore.com.np/assets/uploads/ES1520C.jpg,https://www.neostore.com.np/assets/uploads/ES1520C_2.jpg,Dell Essential Briefcase 15 ES1520C,"Designed with reflective prints on the front panel, the Dell Essential Briefcase 15 (ES1520C) stands out in low-light conditions when hit with direct light, making you more visible.","Current Price: Rs.2,470, Original Price: Rs.2,600",,"Stay safe on-the-go Designed with reflective prints on the front panel, the Dell Essential Briefcase 15 (ES1520C) stands out in low-light conditions, shining brightly when hit with direct light, such as car headlights, making you more visible to others when you are navigating busy streets and sidewalks. Lightweight, yet roomy for your essentials Good capacity to hold your laptop and everything you’ll need for the day. When you’re heading out, your essentials will be within reach when you place your phone, keys and cards in the zippered front pocket. Keep essentials protected Made of water-resistant outer material, the Dell Essential Briefcase 15 (ES1520C) keeps your laptop and other essentials protected. Comfortable to carry When you’re heading out, carry the lightweight briefcase by cushioned top handles and be on your way. Or, sling the adjustable strap over your shoulder to go hands-free. When you’re traveling with a rolling suitcase, simply attach the briefcase on top of the suitcase with the trolley strap and head to your next flight, bus or train. Fits most laptops, up to 15-inches The Dell Essential Briefcase 15 (ES1520C) holds most Dell laptops, up to 15-inches, while commuting.",,,,
dell-essential-sleeve-13---es1320v-.html,https://www.neostore.com.np/assets/uploads/ES1320V.jpg,https://www.neostore.com.np/assets/uploads/ES1320V_2.jpg,https://www.neostore.com.np/assets/uploads/ES1320V.jpg,https://www.neostore.com.np/assets/uploads/ES1320V_2.jpg,Dell Essential Sleeve 13 - ES1320V,"Protect your up to 13-inch laptop from spills, bumps and scratches with the water-resistant, form-fitting neoprene Dell Essential Sleeve 13 
Supports Up to 13-inch laptops.","Current Price: Rs.2,565, Original Price: Rs.2,700",,"Protect your laptop when you’re on-the-go Slip your 13-inch laptop into the durable and water-resistant Dell Essential Sleeve 13 (ES1320V) for reliable protection wherever your busy day takes you. Designed to fit snugly and securely, the neoprene sleeve, with soft, brushed Nylex interior lining, protects your laptop against spills, bumps and scratches. Convenient to use Easy-access, zip-top opening with smooth-gliding double zippers let you easily slide your laptop into place and tuck it under your arm as you head out to your next appointment. Lightweight and easy to carry Tuck your laptop into the lightweight, neoprene sleeve and carry the sleeve on its own. Or slip your laptop into the snug-fitting sleeve and place it in your favorite bag when you head out the door. Compatibility Up to 13-inch laptops",,,,
dell-gaming-backpack-17.html,https://www.neostore.com.np/assets/uploads/dell_3.jpg,https://www.neostore.com.np/assets/uploads/dell1.jpg,https://www.neostore.com.np/assets/uploads/dell_2.jpg,https://www.neostore.com.np/assets/uploads/dell_3.jpg,Dell Gaming Backpack 17,Keep your gaming laptop safe while on the move with this Dell Gaming Backpack.,"Current Price: Rs.5,400, Original Price: Rs.6,000",,"You can keep your gaming laptop safe while on the go with this Dell Gaming Backpack. When you're on the go, heavy-duty body materials and a water-resistant base material keep your gadgets protected from the weather. Deployable rain cover for easy protection An attached and easily deployable rain cover provides additional protection when not in use . Plenty of storage for busy days The laptop sleeve can transport your Dell G Series laptop to LAN tournaments and recreational gaming sessions, and the wide pocket can hold books, notes, and vital gaming materials, including a headset on the integrated hook-and-loop fastener headset hook. Organize stationery with many accessory pockets and pen slots, and save smaller accessories in a zipped mesh pouch at the top. The two flexible side pockets may hold a water bottle and an umbrella. Easy to carry anywhere This Dell laptop bag comes with three carrying options design for optimal convenience. Two S-shaped shoulder straps conform to your body curves for more support, and a top grab grip makes moving about easier. The sternum strap's quick-release buckle allows you to easily adjust load distribution and carrying comfort. Cooler comfort for hot days An airflow meshes back panel and airflow channels keep you cool even on the hottest days. Be seen to be safe When bright lights shine on this Dell laptop backpack, it has a magnificent reflective pattern that creates a vibrant rainbow color. To keep you safe, drivers and cyclists are more aware of your presence. Compatibility This gaming laptop bag is made to fit Dell G Series laptops and keeps them secure. This Dell Gaming Backpack is an excellent choice for gamers on the go. The bag comes with a heavy-duty water-resistant design, a dedicated laptop pocket, many accessory pockets, and reflective accents, therefore, keeping your laptop safe with epic design.",Dell,12.8 x 6.7 x 19.3 in,Notebook carrying backpack,Nylon
dell-targus-synergy-2-0-backpack-for-15-6-laptops.html,https://www.neostore.com.np/assets/uploads/Synergy_3.jpg,https://www.neostore.com.np/assets/uploads/Synergy_2.jpg,https://www.neostore.com.np/assets/uploads/Synergy_.jpg,https://www.neostore.com.np/assets/uploads/Synergy_3.jpg,Dell Targus Synergy 2.0 Backpack for 15.6 Laptops,Built To Last Comfort And Style Designed For Your Life. More Protection For Your Tech,"Current Price: Rs.4,749, Original Price: Rs.4,999",,"Features Carry and protect your laptops in style with the Synergy 2.0 Backpack from Targus designed to fit Laptops with screen sizes up to 15.6-inch. The front workstation includes a business card/ID holder, a mobile phone pocket and pen loops. There is also space for books, documents and other accessories. For added protection, durable material is used on the case bottom to protect against the water, while comfort is provided by a padded back panel and padded ergonomic shoulder straps. Also, it includes hidden pocket for wallet or passport.",Targus,44.1 x 34.3 x 8.4 cm,Back,n/a
digicom-messenger-bag-laptop-bag-dg-m65.html,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-33.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-33.jpg,,,Digicom Messenger Bag | Laptop Bag | DG-M65,"The heather gray exterior is not the only expert, but it is also water-resistant, protecting your item from the weather.","Current Price: Rs.2,375, Original Price: Rs.2,500",,"Fabric that is both durable and protective. The heather gray exterior of this DG-M65 Digicom Laptop Bag is water-resistant, so you won't have to worry about water damage while you're out and about. Design that is both light and comfy The sleeve is light and easy to carry, with handles that make it simple to grab and go. Holder for Sunglasses Sunglasses or sunglass cases can be hung on the hook of this DG-M65 Digicom Laptop Bag. Highlights Features Explore more laptop Bags Here!!! Also, Check Out Our Other Digicom Products Here!!!",Digicom,,Messanger Bag,Fabric Waterproof
